location,latitude,longitude,confirmed,dead,recovered,updated
Alto Alegre,-21.5825891,-50.1666763,1,1,None,2020-04-19 01:22:14.933209+00:00
"Lawrence County, Alabama",34.567428,-87.3016132,9,0,0,2020-04-18 01:41:02.433592+00:00
"Crenshaw County, Alabama",31.6671872,-86.3376761,6,0,0,2020-04-18 01:41:02.433592+00:00
"Cullman County, Alabama",34.2011537,-86.8220341,53,0,None,2020-04-19 01:40:27.495960+00:00
Harbin,45.803775,126.534967,235,4,195,2020-04-19 01:22:33.698233+00:00
Suihua,46.653845,126.968887,47,4,43,2020-04-19 01:22:33.698233+00:00
"Coffee County, Alabama",31.4751172,-86.0121573,55,0,0,2020-04-18 01:41:02.433592+00:00
"Dale County, Alabama",31.4645298,-85.684578,17,0,0,2020-04-18 01:41:02.433592+00:00
"Lee County, Alabama",32.5888702,-85.3962769,305,14,0,2020-04-18 01:41:02.433592+00:00
"DeKalb County, Alabama",34.5211397,-85.684578,40,2,0,2020-04-18 01:41:02.433592+00:00
"Elmore County, Alabama",32.5647083,-86.0121573,58,1,0,2020-04-18 01:41:02.433592+00:00
"Washington County, Minnesota",44.8896877,-92.8577105,92,3,None,2020-04-19 01:40:27.495960+00:00
"Escambia County, Alabama",31.1394734,-87.1422895,14,0,None,2020-04-19 01:40:27.495960+00:00
"Etowah County, Alabama",34.0455341,-86.0529604,93,7,0,2020-04-18 01:41:02.433592+00:00
"Fayette County, Alabama",33.6871392,-87.7763333,4,0,None,2020-04-19 01:40:27.495960+00:00
"Greene County, Alabama",32.9718107,-87.9334803,29,0,0,2020-04-18 01:41:02.433592+00:00
"Hale County, Alabama",32.7859102,-87.6186379,23,1,0,2020-04-18 01:41:02.433592+00:00
"Jackson County, Alabama",34.7090388,-86.0121573,38,2,0,2020-04-18 01:41:02.433592+00:00
"Jefferson County, Alabama",33.4914122,-86.9824288,671,25,0,2020-04-18 01:41:02.433592+00:00
"Lamar County, Alabama",33.6923649,-88.0900762,8,0,0,2020-04-18 01:41:02.433592+00:00
"Lauderdale County, Alabama",34.8840876,-87.658113,23,2,None,2020-04-19 01:40:27.495960+00:00
"Lowndes County, Alabama",32.221464,-86.6611083,27,0,0,2020-04-18 01:41:02.433592+00:00
"Macon County, Alabama",32.3731182,-85.684578,24,2,None,2020-04-19 01:40:27.495960+00:00
"Madison County, Alabama",34.7239731,-86.4996546,216,4,None,2020-04-19 01:40:27.495960+00:00
"Marengo County, Alabama",32.2459085,-87.7763333,25,1,0,2020-04-18 01:41:02.433592+00:00
"Mobile County, Alabama",30.6082227,-88.2461183,637,25,0,2020-04-18 01:41:02.433592+00:00
"Morgan County, Alabama",34.4240875,-86.8621827,47,0,None,2020-04-19 01:40:27.495960+00:00
Horst aan de Maas,51.4232255,6.0303174,40,None,None,2020-04-19 01:41:39.389696+00:00
"Perry County, Alabama",32.598888,-87.3016132,9,0,None,2020-04-19 01:40:27.495960+00:00
"Pickens County, Alabama",33.3339954,-88.0900762,32,0,None,2020-04-19 01:40:27.495960+00:00
"Hendry County, Florida",26.6105319,-81.0754657,39,0,0,2020-04-18 01:41:02.433592+00:00
"Terrell County, Georgia",31.7370079,-84.4802606,145,14,0,2020-04-18 01:41:02.433592+00:00
"Starke County, Indiana",41.2715616,-86.6207943,11,1,0,2020-04-18 01:41:02.433592+00:00
"La Salle County, Texas",28.2758921,-99.1013498,1,0,None,2020-04-19 01:40:27.495960+00:00
North East Lincolnshire,53.5668201,-0.0815066,91,None,None,2020-04-18 15:02:36+00:00
Steenwijkerland,52.7415382,6.0493239,12,None,None,2020-04-19 01:41:40.819899+00:00
"Essex County, Virginia",37.9671684,-76.964306,2,0,None,2020-04-19 01:40:27.495960+00:00
"Chester County, South Carolina",34.6707995,-81.1196075,23,0,None,2020-04-19 01:40:27.495960+00:00
"Durham County, North Carolina",36.0221805,-78.9031279,399,4,0,2020-04-18 01:41:02.433592+00:00
"Florence County, South Carolina",33.9828684,-79.6502105,128,8,0,2020-04-18 01:41:02.433592+00:00
"Moody County, South Dakota",43.9779303,-96.663812,1,0,None,2020-04-19 01:40:27.495960+00:00
"Marion County, Texas",32.7780679,-94.356513,3,0,None,2020-04-19 01:40:27.495960+00:00
"Red River County, Texas",33.6072302,-94.976654,1,0,None,2020-04-19 01:40:27.495960+00:00
Stein,50.9679738,5.7662196,38,None,None,2020-04-19 01:41:40.830760+00:00
"Roberts County, Texas",35.8540979,-100.8903099,2,0,None,2020-04-17 01:40:29.788163+00:00
Goeree-Overflakkee,51.7591966,4.1169809,51,None,None,2020-04-19 01:41:38.914939+00:00
Mülheim a.d.Ruhr,51.4185682,6.8845226,141,4,None,2020-04-18 00:00:00+00:00
Balneário Gaivota,-29.1546867,-49.5809106,2,1,None,2020-04-19 01:22:15.834084+00:00
"Conecuh County, Alabama",31.501571,-86.9824288,10,0,0,2020-04-18 01:41:02.433592+00:00
"Coosa County, Alabama",32.8897772,-86.2196937,22,1,0,2020-04-18 01:41:02.433592+00:00
"Clay County, Arkansas",36.3492244,-90.3748354,1,0,None,2020-04-19 01:40:27.495960+00:00
"Greenlee County, Arizona",33.2405598,-109.2831531,2,0,None,2020-04-19 01:40:27.495960+00:00
"Matanuska-Susitna County, Alaska",62.2599347,-150.1729153,17,0,0,2020-04-18 01:41:02.433592+00:00
"Whatcom County, Washington",48.8787167,-121.9718658,276,25,0,2020-04-18 01:41:02.433592+00:00
"La Paz County, Arizona",34.0061091,-113.9536466,5,1,None,2020-04-19 01:40:27.495960+00:00
Bandeirantes,-19.9244752,-54.359144,3,0,None,2020-04-19 01:22:15.867465+00:00
"McCormick County, South Carolina",33.9134577,-82.2934585,6,1,0,2020-04-18 01:41:02.433592+00:00
"Petersburg Census Area, Alaska",56.8124267,-132.9554472,2,1,None,2020-04-19 01:40:27.495960+00:00
Orne,48.6388567,0.0848201,217,23,127,2020-04-19 01:41:44.256073+00:00
"Cleveland County, Arkansas",33.8658007,-92.2236667,8,0,None,2020-04-19 01:40:27.495960+00:00
"Maricopa County, Arizona",33.2917968,-112.4291464,2491,70,0,2020-04-18 01:41:02.433592+00:00
"Pinal County, Arizona",32.8162061,-111.2845025,235,6,0,2020-04-18 01:41:02.433592+00:00
"Santa Cruz County, Arizona",31.5986127,-110.8076084,16,0,0,2020-04-18 01:41:02.433592+00:00
"Yuma County, Arizona",32.6527533,-113.9536466,29,1,0,2020-04-18 01:41:02.433592+00:00
"Arkansas County, Arkansas",34.2354138,-91.2891036,2,0,None,2020-04-19 01:40:27.495960+00:00
"Ashley County, Arkansas",33.1565939,-91.7538817,11,0,None,2020-04-19 01:40:27.495960+00:00
"Boone County, Arkansas",36.3118662,-93.0175712,3,0,None,2020-04-19 01:40:27.495960+00:00
"Bradley County, Arkansas",33.5081368,-92.2236667,7,0,None,2020-04-19 01:40:27.495960+00:00
"Carroll County, Arkansas",36.2987495,-93.5003454,2,0,None,2020-04-19 01:40:27.495960+00:00
"Clark County, Arkansas",34.0232374,-93.1779659,27,0,None,2020-04-19 01:40:27.495960+00:00
"Columbia County, Arkansas",33.1285176,-93.1779659,4,0,None,2020-04-19 01:40:27.495960+00:00
"Conway County, Arkansas",35.2727492,-92.6983868,5,1,None,2020-04-19 01:40:27.495960+00:00
"Santa Rosa County, Florida",30.7689907,-86.9824288,133,6,0,2020-04-18 01:41:02.433592+00:00
"Vermillion County, Indiana",39.8512139,-87.4802068,5,0,None,2020-04-19 01:40:27.495960+00:00
"Wright County, Iowa",42.7273744,-93.6623239,1,0,None,2020-04-19 01:40:27.495960+00:00
"Harford County, Maryland",39.5838964,-76.3637285,195,5,0,2020-04-18 01:41:02.433592+00:00
Jixi,45.295075,130.969333,46,0,46,2020-04-19 01:22:33.698233+00:00
"Sibley County, Minnesota",44.5502089,-94.1513764,1,0,None,2020-04-19 01:40:27.495960+00:00
"Catron County, New Mexico",34.1515173,-108.4276047,1,0,None,2020-04-19 01:40:27.495960+00:00
"Baxter County, Arkansas",36.3261815,-92.3813621,5,0,0,2020-04-18 01:41:02.433592+00:00
"Caddo County, Oklahoma",35.10556,-98.3088441,51,2,None,2020-04-17 01:40:29.788163+00:00
Barbacena,-21.2219344,-43.7706811,3,0,None,2020-04-19 01:22:15.878854+00:00
"Craighead County, Arkansas",35.8260959,-90.6773046,42,1,0,2020-04-18 01:41:02.433592+00:00
"Aurora County, South Dakota",43.6983477,-98.5721016,1,0,None,2020-04-19 01:40:27.495960+00:00
"Whitman County, Washington",46.8363403,-117.5887295,15,0,0,2020-04-18 01:41:02.433592+00:00
Groningen,53.2193835,6.5665017,16,None,None,2020-04-19 01:41:38.991526+00:00
Itabaiana,-10.6872332,-37.4329352,1,0,None,2020-04-19 01:22:22.108316+00:00
Qiqihar,47.354348,123.918186,43,1,42,2020-04-19 01:22:33.698233+00:00
"Wilkes County, North Carolina",36.202858,-81.2518833,4,1,None,2020-04-19 01:40:27.495960+00:00
Stichtse Vecht,52.1681421,4.9995581,28,None,None,2020-04-19 01:41:40.841565+00:00
Qitaihe,45.771726,131.0031381,17,0,17,2020-04-19 01:22:33.698233+00:00
"Pacific County, Washington",46.5180824,-123.8264512,1,0,None,2020-04-19 01:40:27.495960+00:00
Terneuzen,51.3322854,3.8324265,20,None,None,2020-04-19 01:41:40.863868+00:00
Daqing,46.589309,125.103784,26,1,25,2020-04-19 01:22:33.698233+00:00
Jiamusi,46.799777,130.3188779,15,0,15,2020-04-19 01:22:33.698233+00:00
Tongliao,43.65289,122.243444,7,0,7,2020-04-19 01:22:33.698233+00:00
"Kenai Peninsula County, Alaska",60.0858486,-151.382264,19,0,0,2020-04-18 01:41:02.433592+00:00
"Ketchikan Gateway Borough, Alaska",55.5103345,-131.389286,15,0,None,2020-04-19 01:40:27.495960+00:00
Sapucaia do Sul,-29.8226542,-51.1479088,5,0,None,2020-04-19 01:22:27.872193+00:00
"Monroe County, Ohio",39.7199038,-81.0754657,2,0,None,2020-04-19 01:40:27.495960+00:00
Carapicuíba,-23.5239623,-46.8411243,71,3,None,2020-04-19 01:22:17.726424+00:00
"Greene County, North Carolina",35.5013936,-77.6994197,14,0,0,2020-04-18 01:41:02.433592+00:00
Gooise Meren,52.3047615,5.139699,23,None,None,2020-04-19 01:41:38.947796+00:00
Batna,35.5610218,6.1739116,26,4,0,2020-04-19 01:41:35.263138+00:00
"Lafayette County, Arkansas",33.2511695,-93.6217802,5,0,None,2020-04-19 01:40:27.495960+00:00
"Saline County, Arkansas",34.5708215,-92.539603,41,1,0,2020-04-18 01:41:02.433592+00:00
"Cedar County, Iowa",41.8346154,-91.135302,25,0,0,2020-04-18 01:41:02.433592+00:00
Heumen,51.7645323,5.8431502,16,None,None,2020-04-19 01:41:39.279395+00:00
Groß-Gerau,49.9203655,8.4847038,354,3,None,2020-04-18 00:00:00+00:00
"Menominee County, Wisconsin",44.8857792,-88.6507943,1,0,None,2020-04-19 01:40:27.495960+00:00
Daxinganling,52.335262,124.711526,3,0,3,2020-04-19 01:22:33.698233+00:00
"Franklin County, Arkansas",35.5927966,-93.8248241,1,0,None,2020-04-19 01:40:27.495960+00:00
"Scott County, Arkansas",34.8854732,-93.9878427,1,0,None,2020-04-19 01:40:27.495960+00:00
"Searcy County, Arkansas",35.9721,-92.6983868,6,0,None,2020-04-19 01:40:27.495960+00:00
"Sevier County, Arkansas",34.0346222,-94.2743628,8,0,None,2020-04-19 01:40:27.495960+00:00
"Union County, Arkansas",33.1431092,-92.539603,23,0,0,2020-04-18 01:41:02.433592+00:00
"Johnson County, Arkansas",35.6026275,-93.5003454,21,0,0,2020-04-18 01:41:02.433592+00:00
"Washington County, Arkansas",35.9307703,-94.1513764,45,0,None,2020-04-19 01:40:27.495960+00:00
"White County, Arkansas",35.2900612,-91.7538817,29,0,None,2020-04-19 01:40:27.495960+00:00
"Sacramento County, California",38.47467,-121.3541631,914,33,0,2020-04-18 01:41:02.433592+00:00
"Newton County, Arkansas",35.9603994,-93.1779659,2,0,None,2020-04-19 01:40:27.495960+00:00
"Perry County, Arkansas",34.96032,-92.8976254,3,0,None,2020-04-19 01:40:27.495960+00:00
"St. Francis County, Arkansas",34.9926533,-90.7152749,64,0,0,2020-04-18 01:41:02.433592+00:00
"Grant County, Arkansas",34.2628015,-92.4208713,11,0,None,2020-04-19 01:40:27.495960+00:00
Steinfurt,52.1445658,7.3334636,1076,40,None,2020-04-18 00:00:00+00:00
"Howard County, Arkansas",34.1318213,-94.028678,12,0,None,2020-04-19 01:40:27.495960+00:00
"Independence County, Arkansas",35.8174139,-91.5983959,7,0,None,2020-04-19 01:40:27.495960+00:00
"Sharp County, Arkansas",36.1675974,-91.443469,2,0,None,2020-04-19 01:40:27.495960+00:00
"Out of MI County, Michigan",44.3148443,-85.6023643,74,2,0,2020-04-18 01:41:02.433592+00:00
"Monroe County, Arkansas",34.5918747,-91.135302,2,0,None,2020-04-19 01:40:27.495960+00:00
"Van Buren County, Arkansas",35.6266232,-92.539603,26,2,None,2020-04-19 01:40:27.495960+00:00
"Nevada County, Arkansas",33.6621386,-93.3388917,1,0,None,2020-04-19 01:40:27.495960+00:00
East Riding of Yorkshire,53.8416168,-0.4344106,312,None,None,2020-04-18 15:02:36+00:00
"Clinton County, New York",44.7904203,-73.6005824,48,3,0,2020-04-18 01:41:02.433592+00:00
Carangola,-20.7314751,-42.0299263,1,0,None,2020-04-19 01:22:17.703913+00:00
Caraúbas,-5.7851377,-37.5598274,1,0,None,2020-04-19 01:22:17.748211+00:00
Gurupi,-11.7283752,-49.0686083,1,0,None,2020-04-19 01:22:20.057888+00:00
Hidrolândia,-16.9657527,-49.231423,0,0,None,2020-04-19 01:22:20.090548+00:00
Barcarena,-1.5123997,-48.6196129,3,0,None,2020-04-19 01:22:15.890268+00:00
"Sarasota County, Florida",27.1995986,-82.345189,279,23,0,2020-04-18 01:41:02.433592+00:00
"Stearns County, Minnesota",45.5844792,-94.5865603,16,0,0,2020-04-18 01:41:02.433592+00:00
"Dutchess County, New York",41.7784372,-73.7477857,2201,26,0,2020-04-18 01:41:02.433592+00:00
Horizonte,-19.9166813,-43.9344931,11,1,None,2020-04-19 01:22:20.101462+00:00
"Greene County, Arkansas",36.1314931,-90.563609,9,0,0,2020-04-18 01:41:02.433592+00:00
"Izard County, Arkansas",36.1610924,-91.9099238,2,0,None,2020-04-19 01:40:27.495960+00:00
"Lexington County, South Carolina",33.9309651,-81.2518833,271,9,0,2020-04-18 01:41:02.433592+00:00
"Perry County, Tennessee",35.6786596,-87.8942451,6,0,None,2020-04-19 01:40:27.495960+00:00
Harmonia,-29.5492055,-51.4242255,4,0,None,2020-04-19 01:22:20.068818+00:00
Tubarão,-28.4818875,-49.0058727,33,2,None,2020-04-19 01:22:29.957616+00:00
Mudanjiang,44.551653,129.633168,17,0,15,2020-04-19 01:22:33.698233+00:00
Hegang,47.349916,130.297964,5,0,5,2020-04-19 01:22:33.698233+00:00
"Stanislaus County, California",37.5090711,-120.9876321,206,4,None,2020-04-19 01:40:27.495960+00:00
Baoshan district,31.405457,121.489612,22,1,19,2020-04-19 01:22:33.698233+00:00
Hoorn,52.6423654,5.0602124,27,None,None,2020-04-19 01:41:39.378952+00:00
"Humboldt County, California",40.7450055,-123.8695086,52,0,None,2020-04-19 01:40:27.495960+00:00
"Solano County, California",38.3104969,-121.9017954,174,2,None,2020-04-17 01:40:29.788163+00:00
Oosterhout,51.6410202,4.8616901,35,None,None,2020-04-19 01:41:40.245281+00:00
"Milwaukee County, Wisconsin",43.0387949,-87.9065334,2065,122,0,2020-04-18 01:41:02.433592+00:00
Yichun,27.815743,114.416785,1,0,1,2020-04-19 01:22:33.698233+00:00
Leicester,52.6368778,-1.1397592,455,None,None,2020-04-18 15:02:36+00:00
Hortolândia,-22.8533412,-47.2147082,9,0,None,2020-04-19 01:22:20.112412+00:00
"Inyo County, California",36.3091865,-117.5495846,18,0,None,2020-04-19 01:40:27.495960+00:00
"Kit Carson County, Colorado",39.3844507,-102.5298028,13,1,None,2020-04-19 01:40:27.495960+00:00
"Henry County, Iowa",41.0283603,-91.5983959,27,1,0,2020-04-18 01:41:02.433592+00:00
"Chaves County, New Mexico",33.4757392,-104.4723301,21,0,None,2020-04-19 01:40:27.495960+00:00
"Polk County, Tennessee",35.1371578,-84.564147,5,0,None,2020-04-19 01:40:27.495960+00:00
"Orange County, California",33.7174708,-117.8311428,1556,32,0,2020-04-18 01:41:02.433592+00:00
"Santa Barbara County, California",34.4208321,-119.6982057,373,3,None,2020-04-19 01:40:27.495960+00:00
"Bastrop County, Texas",30.0458708,-97.3516558,44,2,None,2020-04-17 01:40:29.788163+00:00
"Santa Cruz County, California",37.0453988,-121.9579578,101,2,0,2020-04-18 01:41:02.433592+00:00
York,53.9599651,-1.0872979,160,None,None,2020-04-18 15:02:36+00:00
Laguna,-28.4876062,-48.8397403,5,0,None,2020-04-19 01:22:23.348998+00:00
Foreign to Shanghai,31.225991,121.450342,111,0,107,2020-04-19 01:22:33.698233+00:00
"Fresno County, California",36.9858984,-119.2320784,311,7,None,2020-04-19 01:40:27.495960+00:00
"Kings County, California",36.0988489,-119.8815203,20,1,None,2020-04-19 01:40:27.495960+00:00
"Lake County, California",39.0839644,-122.8084496,6,0,None,2020-04-19 01:40:27.495960+00:00
"Los Angeles County, California",34.0522265,-118.2436596,12021,576,0,2020-04-18 01:41:02.433592+00:00
"Placer County, California",39.0915751,-120.8039474,131,8,0,2020-04-18 01:41:02.433592+00:00
"Plumas County, California",39.9926832,-120.8039474,4,0,None,2020-04-19 01:40:27.495960+00:00
"San Mateo County, California",37.4337342,-122.4014193,838,28,0,2020-04-18 01:41:02.433592+00:00
"Santa Clara County, California",37.3336581,-121.8907041,1870,69,None,2020-04-19 01:40:27.495960+00:00
"Shasta County, California",40.7908864,-121.8474493,26,3,None,2020-04-19 01:40:27.495960+00:00
"Sonoma County, California",38.5779555,-122.9888319,180,2,None,2020-04-17 01:40:29.788163+00:00
"Fremont County, Colorado",38.5306514,-105.5005483,9,0,None,2020-04-19 01:40:27.495960+00:00
"Harrison County, Indiana",38.1701136,-86.1751759,85,2,0,2020-04-18 01:41:02.433592+00:00
Arujá,-23.3969682,-46.3204265,24,1,None,2020-04-19 01:22:15.649404+00:00
"Asotin County, Washington",46.1460123,-117.2085208,11,0,None,2020-04-19 01:40:27.495960+00:00
Ibotirama,-12.178205,-43.2180949,1,0,None,2020-04-19 01:22:21.671467+00:00
"Imperial County, California",33.0113694,-115.4733554,155,2,None,2020-04-17 01:40:29.788163+00:00
"Kent County, Maryland",39.2713804,-76.1319953,16,1,0,2020-04-18 01:41:02.433592+00:00
"Lincoln County, New Mexico",33.8853309,-105.4068079,1,0,None,2020-04-19 01:40:27.495960+00:00
"Oneida County, New York",43.2371798,-75.4344727,268,6,0,2020-04-18 01:41:02.433592+00:00
"Sublette County, Wyoming",42.8138723,-109.7591675,1,0,None,2020-04-19 01:40:27.495960+00:00
Hendrik-Ido-Ambacht,51.8423973,4.6395056,6,None,None,2020-04-19 01:41:39.246779+00:00
"Wexford County, Michigan",44.387157,-85.520024,7,1,None,2020-04-19 01:40:27.495960+00:00
Miguel Pereira,-22.4577356,-43.4806903,5,1,None,2020-04-19 01:22:24.221208+00:00
Rio Negro,-0.4230846,-64.6562756,2,0,None,2020-04-19 01:22:26.966249+00:00
Songjiang district,31.032243,121.227747,14,0,14,2020-04-19 01:22:33.698233+00:00
Luton,51.8786707,-0.4200255,452,None,None,2020-04-18 15:02:36+00:00
"Campbell County, Tennessee",36.3817326,-84.1857115,13,1,None,2020-04-19 01:40:27.495960+00:00
Oss,51.7835618,5.5786314,116,None,None,2020-04-19 01:41:40.300351+00:00
Changning district,31.220367,121.424624,13,0,13,2020-04-19 01:22:33.698233+00:00
Telêmaco Borba,-24.3237385,-50.6206959,6,0,None,2020-04-19 01:22:29.560956+00:00
"Union County, Florida",30.0745112,-82.345189,2,0,None,2020-04-19 01:40:27.495960+00:00
"Logan County, Colorado",40.7056181,-102.989615,17,1,None,2020-04-19 01:40:27.495960+00:00
"Cibola County, New Mexico",35.0947557,-107.8583868,33,2,0,2020-04-18 01:41:02.433592+00:00
Peterborough,52.5694985,-0.2405299,127,None,None,2020-04-18 15:02:36+00:00
"Chaffee County, Colorado",38.7536679,-106.2522143,35,4,None,2020-04-19 01:40:27.495960+00:00
"Clear Creek County, Colorado",39.6904464,-105.6412527,11,0,None,2020-04-19 01:40:27.495960+00:00
"Phillips County, Colorado",40.5371334,-102.3463875,5,0,None,2020-04-19 01:40:27.495960+00:00
"Custer County, Colorado",38.0615578,-105.3131185,2,0,None,2020-04-19 01:40:27.495960+00:00
"Delta County, Colorado",38.8531357,-107.763621,16,1,None,2020-04-19 01:40:27.495960+00:00
"Pitkin County, Colorado",39.159101,-106.8178377,51,2,None,2020-04-19 01:40:27.495960+00:00
"Douglas County, Colorado",39.2587106,-104.9388853,353,15,None,2020-04-19 01:40:27.495960+00:00
"Mesa County, Colorado",38.9585381,-108.6175626,34,0,None,2020-04-19 01:40:27.495960+00:00
"Mineral County, Colorado",37.6583677,-107.0067031,2,0,None,2020-04-19 01:40:27.495960+00:00
"Montezuma County, Colorado",37.3257517,-108.6175626,13,2,None,2020-04-19 01:40:27.495960+00:00
Zhaotong,27.338257,103.717465,25,0,25,2020-04-19 01:22:33.698233+00:00
"Denver County, Colorado",39.7392358,-104.990251,1636,66,None,2020-04-19 01:40:27.495960+00:00
"Elbert County, Colorado",39.3537004,-104.1930918,20,1,None,2020-04-19 01:40:27.495960+00:00
"Moffat County, Colorado",40.6138379,-108.2377519,3,0,None,2020-04-19 01:40:27.495960+00:00
"Gilpin County, Colorado",39.8770159,-105.4536718,1,0,None,2020-04-19 01:40:27.495960+00:00
Opmeer,52.7053787,4.9426672,1,None,None,2020-04-19 01:41:40.278578+00:00
"Montrose County, Colorado",38.468304,-108.1428669,70,7,None,2020-04-19 01:40:27.495960+00:00
"Morgan County, Colorado",40.2989226,-103.7289167,135,2,None,2020-04-19 01:40:27.495960+00:00
"Otero County, Colorado",37.9397663,-103.6362715,6,0,None,2020-04-19 01:40:27.495960+00:00
"Ouray County, Colorado",38.2016133,-107.763621,5,1,None,2020-04-19 01:40:27.495960+00:00
"Lake County, Colorado",39.1941167,-106.2992912,8,0,None,2020-04-19 01:40:27.495960+00:00
"Larimer County, Colorado",40.6955572,-105.5943388,224,10,None,2020-04-19 01:40:27.495960+00:00
"Lincoln County, Colorado",39.0457549,-103.3587288,3,0,None,2020-04-19 01:40:27.495960+00:00
"Onondaga County, New York",43.026819,-76.1783739,598,17,0,2020-04-18 01:41:02.433592+00:00
"Monroe County, Wisconsin",43.9412045,-90.7532809,13,0,None,2020-04-19 01:40:27.495960+00:00
"Montgomery County, Ohio",39.7620028,-84.3542049,229,8,0,2020-04-18 01:41:02.433592+00:00
South Gloucestershire,51.5264361,-2.4728487,256,None,None,2020-04-18 15:02:36+00:00
Yangpu district,31.259822,121.525727,9,0,9,2020-04-19 01:22:33.698233+00:00
Almenara,-16.1796164,-40.6953218,1,0,None,2020-04-19 01:22:14.858698+00:00
Kunming,24.880095,102.832891,53,0,53,2020-04-19 01:22:33.698233+00:00
Putuo district,31.24984,121.395555,11,0,11,2020-04-19 01:22:33.698233+00:00
"Baca County, Colorado",37.394731,-102.5298028,10,0,None,2020-04-19 01:40:27.495960+00:00
"Boulder County, Colorado",40.1512114,-105.5005483,327,15,None,2020-04-19 01:40:27.495960+00:00
"Costilla County, Colorado",37.2049596,-105.5005483,3,0,None,2020-04-19 01:40:27.495960+00:00
"Crowley County, Colorado",38.2498631,-103.8216261,2,1,None,2020-04-19 01:40:27.495960+00:00
Hoeksche Waard,51.77,4.47,67,None,None,2020-04-19 01:41:39.334942+00:00
Hof van Twente,52.2414268,6.5915549,14,None,None,2020-04-19 01:41:39.346150+00:00
Aracoiaba,-7.7890434,-35.0924127,1,0,None,2020-04-19 01:22:15.293067+00:00
"Park County, Colorado",39.0897928,-105.5943388,6,0,None,2020-04-19 01:40:27.495960+00:00
"Jackson County, Iowa",42.1560699,-90.5257823,4,0,None,2020-04-19 01:40:27.495960+00:00
"Smith County, Texas",32.3352505,-95.3102505,116,2,None,2020-04-17 01:40:29.788163+00:00
"Eagle County, Colorado",39.576406,-106.7234639,482,6,None,2020-04-19 01:40:27.495960+00:00
"Fairfield County, Connecticut",41.2559654,-73.3708696,7363,432,0,2020-04-18 01:41:02.433592+00:00
"Benton County, Mississippi",34.7712669,-89.1705998,6,0,None,2020-04-19 01:40:27.495960+00:00
"Hartford County, Connecticut",41.7924343,-72.8042797,3196,289,0,2020-04-18 01:41:02.433592+00:00
"Bee County, Texas",28.3624206,-97.6982272,5,0,None,2020-04-19 01:40:27.495960+00:00
"Berks County, Pennsylvania",40.3451566,-75.9927652,1748,40,0,2020-04-18 01:41:02.433592+00:00
"New Castle County, Delaware",39.5392979,-75.667356,1205,32,0,2020-04-18 01:41:02.433592+00:00
"Newport News County, Virginia",37.0870821,-76.4730122,102,1,0,2020-04-18 01:41:02.433592+00:00
"Williamsburg County, South Carolina",33.6293606,-79.6502105,20,0,0,2020-04-18 01:41:02.433592+00:00
Ardèche,44.759629,4.5624426,382,49,223,2020-04-19 01:41:44.221087+00:00
Neustadt a.d.Aisch-Bad Windsheim,49.5860538,10.4656064,178,6,None,2020-04-18 00:00:00+00:00
Cariacica,-20.2844662,-40.4312584,98,1,None,2020-04-19 01:22:17.781516+00:00
"Glades County, Florida",26.984415,-81.0754657,5,1,None,2020-04-19 01:40:27.495960+00:00
Midden-Groningen,53.1740634,6.8190222,6,None,None,2020-04-19 01:41:39.893442+00:00
Carmo do Cajuru,-20.1847658,-44.7714629,2,0,None,2020-04-19 01:22:17.848250+00:00
Opsterland,53.0395418,6.1153198,6,None,None,2020-04-19 01:41:40.289420+00:00
Baturité,-4.3325997,-38.8773164,2,0,None,2020-04-19 01:22:16.161210+00:00
Hongkou district,31.2646,121.505132,7,0,7,2020-04-19 01:22:33.698233+00:00
"Washington County, Colorado",40.063745,-102.989615,5,0,None,2020-04-19 01:40:27.495960+00:00
"Yuma County, Colorado",40.1448234,-102.2547919,2,0,None,2020-04-19 01:40:27.495960+00:00
"Citrus County, Florida",28.8848842,-82.5185837,82,8,None,2020-04-19 01:40:27.495960+00:00
"Dooly County, Georgia",32.1593447,-83.804868,69,4,None,2020-04-19 01:40:27.495960+00:00
"Sangamon County, Illinois",39.7337353,-89.6251646,61,3,0,2020-04-18 01:41:02.433592+00:00
"Beauregard Parish, Louisiana",30.7611484,-93.3388917,35,2,None,2020-04-19 01:40:27.495960+00:00
"Bienville County, Louisiana",32.4107403,-93.0175712,65,9,0,2020-04-18 01:41:02.433592+00:00
"Tishomingo County, Mississippi",34.7615024,-88.2461183,3,0,0,2020-04-18 01:41:02.433592+00:00
"Grant County, New Mexico",32.9690805,-108.2377519,13,0,None,2020-04-19 01:40:27.495960+00:00
"Pitt County, North Carolina",35.5589221,-77.4242972,89,1,0,2020-04-18 01:41:02.433592+00:00
Qinhuangdao,39.935361,119.600523,10,1,9,2020-04-19 01:22:33.698233+00:00
Camocim,-2.9008418,-40.8421,1,0,None,2020-04-19 01:22:17.150475+00:00
"McPherson County, Kansas",38.3164433,-97.6982272,15,0,None,2020-04-19 01:40:27.495960+00:00
Belmiro Braga,-21.9497756,-43.4156529,1,1,None,2020-04-19 01:22:16.258590+00:00
Goianésia,-15.3122723,-49.1166441,22,0,None,2020-04-19 01:22:19.678933+00:00
"Litchfield County, Connecticut",41.7866294,-73.2765361,593,48,0,2020-04-18 01:41:02.433592+00:00
Minas do Leão,-30.135612,-52.0449836,2,0,None,2020-04-19 01:22:24.232216+00:00
Huangpu district,31.231763,121.484443,6,0,6,2020-04-19 01:22:33.698233+00:00
